정류소ID,모바일ID,정류소명,영문명,시/도,구/군,동,X좌표,Y좌표,경유노선수,경유노선
7111060900,02739,대구보훈요양원앞,Daegu Veterans Yo Yangwon,대구광역시,달성군,하빈면,12824.609004,3553.192774,1,성서2
7111061000,02740,대구보훈요양원건너,Daegu Veterans Yo Yangwon,대구광역시,달성군,하빈면,12824.6155,3553.1822,1,성서2
7111061100,05168,신성에스앤티앞,Shin sung S&T,대구광역시,달성군,다사읍,12828.2185,3552.3703,4,"425, 달서1, 성서1-1, 성서3"
7111061200,02803,동성에스티에스건너,Dong Sung STS,대구광역시,달성군,다사읍,12827.805925,3552.488571,1,성서3
7111061300,02800,한서기전앞,Han Seo Elec,대구광역시,달성군,다사읍,12827.8196,3552.7012,1,성서3
7111061400,05169,신성에스앤티건너,Shin sung S&T,대구광역시,달성군,다사읍,12828.2168,3552.3439,4,"425, 달서1, 성서1, 성서3"
7111061500,02801,한서기전건너,Han Seo Elec,대구광역시,달성군,다사읍,12827.81431,3552.707434,1,성서3
7111061600,02799,동성에스티에스앞,Dong Sung STS,대구광역시,달성군,다사읍,12827.813038,3552.496173,1,성서3
7111061700,02798,에이스이노텍앞,Ace InnoTec,대구광역시,달성군,다사읍,12828.023,3552.2346,1,성서3
7111061800,05167,에이스이노텍건너,Ace InnoTec,대구광역시,달성군,다사읍,12828.0198,3552.2258,1,성서3
7111061900,02796,아주철강건너,A-joo steel industry,대구광역시,달성군,다사읍,12828.0025,3552.39,1,성서3
7111062000,02795,아주철강앞,A-joo steel industry,대구광역시,달성군,다사읍,12828.0033,3552.4071,1,성서3
7111062100,02897,강창교2,Gangchanggyo (Bridge),대구광역시,달성군,다사읍,12828.1631,3551.2844,6,"250, 524, 527, 564, 655, 성서2"
7111062200,02812,청아람푸르지오2단지1,Chungahram Prugio Apts 2,대구광역시,달성군,다사읍,12828.046,3551.0007,2,"성서1-1, 성서2"
7111062300,02813,청아람푸르지오2단지2,Chungahram Prugio Apts 2,대구광역시,달성군,다사읍,12828.0117,3551.005,2,"성서1, 성서2"
7111062400,02817,교항리마을입구건너,Gyohang-ri,대구광역시,달성군,옥포면,12826.797102,3547.121601,1,달성2
7111062600,05229,화동초등학교건너,Hwadong Elementary School,대구광역시,달성군,화원읍,12830.5997,3548.0306,1,달서3
7111062700,02821,달성군선거관리위원회앞,Dalseong-gun Election Commission,대구광역시,달성군,화원읍,12830.3331,3548.2777,2,"달서3, 달성1"
7111062800,02822,달성군선거관리위원회건너,Dalseong-gun Election Commission,대구광역시,달성군,화원읍,12830.3292,3548.2717,1,달서3
7111062900,02826,화동초등학교앞,Hwadong Elementary School,대구광역시,달성군,화원읍,12830.593,3548.0297,1,달서3
7111063100,02920,상당마을,Sangdang-maeul,대구광역시,달성군,하빈면,12827.0362,3555.7878,1,성서2
7111063200,02921,터실마을,Teosil-maeul,대구광역시,달성군,하빈면,12826.1705,3555.2213,1,성서2
